control_id,domaine,objectif,description,repo_status,evidence_files,code_refs,config_refs,test_refs,risks_if_missing,remediation,priority,owner,notes
NIS2-LOG-01,Journalisation,Collecte des logs,Collecte centralisée des logs système et applicatifs via Fluent Bit,covered,config/fluent-bit.conf,,,,"Absence de visibilité sur les événements sécurité","Maintenir la configuration Fluent Bit",P1,system,mTLS activé côté input ; tls.verify Off côté output (voir NIS2-TLS-02)
NIS2-LOG-02,Journalisation,Intégrité des logs,Signature HMAC-SHA256 sur chaque archive de log,covered,src/collectors/integrity.py,src/collectors/integrity.py:29-52,,tests/unit/test_integrity.py,"Falsification des logs probants","Maintenir la rotation et la signature",P1,system,compare_digest utilisé (protection timing attack)
NIS2-LOG-03,Journalisation,Rotation des logs,Rotation quotidienne avec compression gzip,covered,src/collectors/integrity.py,src/collectors/integrity.py:100-148,,tests/unit/test_integrity.py:106-166,"Perte de logs anciens non archivés","Maintenir la rotation",P1,system,Rotation vers archive/{YYYY/MM/DD}/
NIS2-LOG-04,Journalisation,Rétention configurable,Rétention paramétrable via LOG_RETENTION_DAYS,partial,docker-compose.yml,src/collectors/integrity.py:25,,tests/unit/test_integrity.py,"Perte de preuves avant délai légal","Porter LOG_RETENTION_DAYS=365 en défaut prod",P1,ops,Défaut 90j — ANSSI recommande 1 an minimum en production
NIS2-LOG-05,Journalisation,Audit trail pipeline,Traçabilité de chaque nœud LangGraph,covered,src/langgraph_pipeline/nodes.py,src/langgraph_pipeline/nodes.py:106-113,,tests/unit/test_nodes.py:115-120,"Impossibilité de retracer une analyse","Maintenir les audit_events",P1,system,Chaque nœud insère un audit_event horodaté
NIS2-LOG-06,Journalisation,Audit trail PostgreSQL,Table audit_trail immuable en base,partial,scripts/init_db.sql,src/collectors/pg_writer.py:98-114,scripts/init_db.sql:61-73,,"Traçabilité brisée si redémarrage API","Appeler insert_audit_event depuis l'API",P1,dev,Table définie mais non appelée depuis routes/analysis.py
NIS2-LOG-07,Journalisation,Persistance des rapports,Rapports d'analyse stockés en PostgreSQL,missing,,,scripts/init_db.sql:40-55,,"Perte de rapports au redémarrage","Remplacer _reports_store mémoire par pg_writer",P1,dev,_reports_store dict en mémoire : src/api/routes/analysis.py:26
NIS2-LOG-08,Journalisation,Logging structuré JSON,Logs applicatifs au format JSON structuré,covered,src/api/main.py,src/api/main.py:25-44,,,"Logs non exploitables par SIEM","Maintenir structlog",P2,dev,structlog JSONRenderer configuré
NIS2-DET-01,Détection,Détection d'anomalies par patterns,Pattern matching sur 7 types d'attaques (SSH BF / SQLi / path traversal...),covered,src/langgraph_pipeline/nodes.py,src/langgraph_pipeline/nodes.py:27-77,,tests/unit/test_nodes.py:147-210,"Attaques non détectées","Maintenir et enrichir les patterns IOC",P1,dev,Brute-force SSH / root login / port scan / SQLi / path traversal / 403 / privilege escalation
NIS2-DET-02,Détection,Score de risque,Score de risque agrégé [0.0-1.0] par analyse,covered,src/langgraph_pipeline/nodes.py,src/langgraph_pipeline/nodes.py:222-228,,tests/unit/test_nodes.py:195-210,"Escalade non déclenchée","Maintenir la logique de scoring",P1,dev,Score amplifié par fréquence
NIS2-DET-03,Détection,Analyse LLM locale,Enrichissement contextuel via Mistral 7B local (Ollama),covered,src/langgraph_pipeline/nodes.py,src/langgraph_pipeline/nodes.py:289-312,,,"Analyse uniquement déterministe","Maintenir Ollama disponible",P2,ops,Fallback gracieux si Ollama indisponible
NIS2-DET-04,Détection,Seuil d'escalade configurable,ANOMALY_THRESHOLD paramétrable,covered,docker-compose.yml,,docker-compose.yml:196,,,"Escalade mal calibrée","Documenter la logique de seuil",P2,ops,Défaut 0.75
NIS2-INC-01,Incidents,Escalade humaine,Routage vers analyste humain si score >= seuil ou sévérité CRITICAL,covered,src/langgraph_pipeline/conditions.py,src/langgraph_pipeline/conditions.py,,tests/unit/test_nodes.py:216-239,"Incidents graves non traités","Maintenir le routage conditionnel",P1,dev,requires_human_review=True sur rapport escaladé
NIS2-INC-02,Incidents,Notification webhook,Notification automatique lors d'une escalade,missing,,,,,"Délai de réponse dégradé","Implémenter webhook configurable via ALERT_WEBHOOK_URL",P2,dev,À implémenter en Phase 3
NIS2-INC-03,Incidents,Runbook de réponse,Procédures de réponse aux incidents par niveau de sévérité,missing,,,,,"Réponse incohérente ou lente","Créer docs/nis2/incident-runbook.md",P2,ops,À créer en Phase 3
NIS2-TLS-01,Transport,mTLS collecte,TLS mutuel entre Fluent Bit et Loki (input),covered,config/fluent-bit.conf,,config/fluent-bit.conf:33-37,,"Interception des logs","Maintenir la configuration mTLS",P1,ops,CA + certificat client + serveur générés par gen_certs.sh
NIS2-TLS-02,Transport,TLS output vérifié,Vérification du certificat serveur sur l'output Loki,partial,config/fluent-bit.conf,,config/fluent-bit.conf:108,,"MITM possible sur le transport","Activer tls.verify On en production",P1,ops,tls.verify Off actuellement — corriger avec note dev/prod
NIS2-TLS-03,Transport,Génération certificats,Script de génération CA + server + client TLS,covered,scripts/gen_certs.sh,,scripts/gen_certs.sh,,"Certificats auto-signés non renouvelés","Documenter renouvellement annuel",P2,ops,Permissions 600 sur clés privées
NIS2-SEC-01,Secrets,Variables obligatoires au boot,Vérification des secrets critiques au démarrage,partial,src/api/main.py,src/api/main.py:55-59,,tests/unit/test_api.py,"Démarrage silencieux sans secrets","Étendre à POSTGRES_DSN et LOKI_URL",P1,dev,Seul HMAC_SECRET_KEY vérifié actuellement
NIS2-SEC-02,Secrets,Secrets PostgreSQL,POSTGRES_PASSWORD obligatoire avec :? dans compose,covered,docker-compose.yml,,docker-compose.yml:73,,"Démarrage avec mot de passe vide","Maintenir :? syntax",P1,ops,SCRAM-SHA-256 activé
NIS2-SEC-03,Secrets,HMAC secret obligatoire,HMAC_SECRET_KEY obligatoire avec :? dans compose,covered,docker-compose.yml src/collectors/integrity.py,src/collectors/integrity.py:43-44,docker-compose.yml:194,tests/unit/test_integrity.py:62-66,"Logs sans signature HMAC","Maintenir la vérification",P1,ops,Clé vide lève ValueError
NIS2-SEC-04,Secrets,Fichier .env.example,Documentation des variables d'environnement attendues,missing,,,,,"Impossible de reproduire l'environnement","Créer .env.example avec toutes les variables",P1,dev,Référencé dans README mais absent du repo
NIS2-NET-01,Réseau,Séparation réseau Docker,Réseaux Docker isolés : collect-net / analyze-net / storage-net,covered,docker-compose.yml,,docker-compose.yml:17-30,,"Mouvement latéral entre services","Maintenir la segmentation",P1,ops,Sous-réseaux dédiés avec CIDR fixes
NIS2-NET-02,Réseau,PostgreSQL sans port externe,Port 5432 non exposé à l'hôte en production,covered,docker-compose.yml,,docker-compose.yml:86-87,,"Accès direct à la base depuis l'extérieur","Maintenir le commentaire de port",P1,ops,Port commenté avec note ANSSI
NIS2-CTR-01,Containers,Utilisateur non-root,Container API exécuté avec appuser (non-root),covered,Dockerfile,Dockerfile:32-35,,,"Escalade de privilèges",Maintenir USER appuser,P1,dev,appgroup + appuser créés dans Dockerfile
NIS2-CTR-02,Containers,Variables de durcissement Python,PYTHONDONTWRITEBYTECODE / PYTHONUNBUFFERED / PYTHONFAULTHANDLER,covered,Dockerfile,Dockerfile:9-13,,,"Comportement imprévisible",Maintenir les ENV,P2,dev,
NIS2-CTR-03,Containers,Images Docker non pinnées,Images sans digest SHA256 — mise à jour non contrôlée,missing,docker-compose.yml,,docker-compose.yml,,"Régression involontaire sur mise à jour image","Pinner les images par digest en production",P2,ops,À cadrer en Phase 2
NIS2-NTP-01,Temps,Synchronisation NTP,Service NTP dédié dans Docker Compose,covered,docker-compose.yml,,docker-compose.yml:48-62,,"Timestamps incohérents entre services","Maintenir le service NTP",P1,ops,pool.ntp.org + time.cloudflare.com
NIS2-DB-01,Base de données,Schéma PostgreSQL sécurisé,Tables log_entries / analysis_reports / audit_trail / anomaly_details avec contraintes,covered,scripts/init_db.sql,,scripts/init_db.sql,,"Données incohérentes","Maintenir le schéma",P1,dev,pgvector activé ; pgcrypto activé
NIS2-DB-02,Base de données,RLS sur audit_trail,Row Level Security pour interdire UPDATE/DELETE sur audit_trail,missing,scripts/init_db.sql,,scripts/init_db.sql:70-71,,"Falsification de l'audit trail","Activer RLS avec politique INSERT-only",P2,dev,Mentionné en commentaire SQL mais non implémenté
NIS2-SC-01,Supply chain,Scan vulnérabilités dépendances,pip-audit / safety sur requirements.txt,missing,,,,,"Dépendances avec CVE en production","Ajouter pip-audit dans CI",P1,dev,
NIS2-SC-02,Supply chain,Scan images Docker,Trivy / Grype sur images Docker,missing,,,,,"Images avec CVE non détectées","Ajouter Trivy dans CI",P2,dev,
NIS2-SC-03,Supply chain,SBOM,Software Bill of Materials au format SPDX ou CycloneDX,missing,,,,,"Inventaire dépendances absent","Générer avec syft en CI",P3,dev,
NIS2-CI-01,CI/CD,Pipeline CI,GitHub Actions exécutant tests + lint à chaque push,missing,,,,,"Régression sécurité non détectée","Créer .github/workflows/ci.yml",P1,dev,
NIS2-CI-02,CI/CD,SAST Python,bandit sur le code source Python,missing,,,,,"Vulnérabilités statiques non détectées","Ajouter bandit dans CI",P1,dev,
NIS2-CI-03,CI/CD,Couverture minimum,pytest --cov-fail-under=80,missing,pytest.ini,,,pytest.ini,"Régression tests non détectée","Ajouter fail_under dans pytest.ini",P1,dev,
NIS2-BKP-01,Sauvegarde,Backup PostgreSQL,Script de sauvegarde chiffré de la base de données,missing,,,,,"Perte de données définitive après incident","Créer scripts/backup_postgres.sh",P2,ops,
NIS2-BKP-02,Sauvegarde,Test de restauration,Procédure de restauration testée et documentée,missing,,,,,"Backup inutilisable en cas de sinistre","Créer scripts/restore_postgres.sh + test",P2,ops,
